Sub-Sub-Title,Sub-Title,Team,bandera,bullet_id,commentId,country,fecha,formatted,id,source_file
,,mejora continua y scheme enablers,Visa,6778293518e6d7a1d34eae3e_3,6778293518e6d7a1d34eae3e,MLA,2025-Q1,soporte mcc aliexpress mlp + fup notificación visa mla x adecuación de mcc,6778293518e6d7a1d34eae3e_3,6778293518e6d7a1d34eae3e.json
,,mejora continua y scheme enablers,Otra,6778293518e6d7a1d34eae3e_2,6778293518e6d7a1d34eae3e,CORP,2025-Q1,reportes q4 2024,6778293518e6d7a1d34eae3e_2,6778293518e6d7a1d34eae3e.json
,,mejora continua y scheme enablers,Otra,6778293518e6d7a1d34eae3e_1,6778293518e6d7a1d34eae3e,CORP,2025-Q1,fee de riesgo y cac,6778293518e6d7a1d34eae3e_1,6778293518e6d7a1d34eae3e.json
,,mejora continua y scheme enablers,Otra,677b2ecc5dfc1a6bc7ecbb0e_4,677b2ecc5dfc1a6bc7ecbb0e,CORP,2025-Q1,ownboarding noe,677b2ecc5dfc1a6bc7ecbb0e_4,677b2ecc5dfc1a6bc7ecbb0e.json
,,mejora continua y scheme enablers,Otra,6781404e06c6f5846b7b774d_2,6781404e06c6f5846b7b774d,MLM,2025-Q1,mesas legales sites mlm/mlb/mco,6781404e06c6f5846b7b774d_2,6781404e06c6f5846b7b774d.json
,,mejora continua y scheme enablers,Otra,6781404e06c6f5846b7b774d_3,6781404e06c6f5846b7b774d,MLA,2025-Q1,bau: fu compliance case mcc miscoding génova mla + finalización presentación reportes qmr/qoc,6781404e06c6f5846b7b774d_3,6781404e06c6f5846b7b774d.json
,planning y mejora continua,mejora continua y scheme enablers,Otra,678175bbdd1d9672abb90100_3,678175bbdd1d9672abb90100,CORP,2025-Q1,ownboarding noe + presentación impacto tte + reunión con team smart routing --> analizar oportunidades de mejora,678175bbdd1d9672abb90100_3,678175bbdd1d9672abb90100.json
,,mejora continua y scheme enablers,Otra,677b2ecc5dfc1a6bc7ecbb0e_2,677b2ecc5dfc1a6bc7ecbb0e,CORP,2025-Q1,resultados genova dic 2024 preparar seguimiento prosa 2025,677b2ecc5dfc1a6bc7ecbb0e_2,677b2ecc5dfc1a6bc7ecbb0e.json
,,mejora continua y scheme enablers,Otra,6781404e06c6f5846b7b774d_1,6781404e06c6f5846b7b774d,CORP,2025-Q1,monthly deck se diciembre 2024,6781404e06c6f5846b7b774d_1,6781404e06c6f5846b7b774d.json
,,mejora continua y scheme enablers,Otra,677b2ecc5dfc1a6bc7ecbb0e_1,677b2ecc5dfc1a6bc7ecbb0e,CORP,2025-Q1,alvaro out of office por esta semana,677b2ecc5dfc1a6bc7ecbb0e_1,677b2ecc5dfc1a6bc7ecbb0e.json
,,mejora continua y scheme enablers,Visa,677b2ecc5dfc1a6bc7ecbb0e_3,677b2ecc5dfc1a6bc7ecbb0e,MLA,2025-Q1,calculos fee de bandera genova y emision apoyo notificacion mcc en mla a la espera de info de visa,677b2ecc5dfc1a6bc7ecbb0e_3,677b2ecc5dfc1a6bc7ecbb0e.json
,planning y mejora continua,mejora continua y scheme enablers,Visa,678175bbdd1d9672abb90100_2,678175bbdd1d9672abb90100,MLA,2025-Q1,"presentación fee de bandera, notificación visa mla y perseguir oportunidad mlm (mcc - acs) - @camilaprandi",678175bbdd1d9672abb90100_2,678175bbdd1d9672abb90100.json
