Sub-Sub-Title,Sub-Title,Team,bandera,bullet_id,commentId,country,fecha,formatted,id,source_file
,cobrand,bari,Otra,6778472f5ae19a52d3b2b7f7_2,6778472f5ae19a52d3b2b7f7,CORP,2025-Q1,mesa con individuals para evacuar dudas sobre revenues en los flujos de users,6778472f5ae19a52d3b2b7f7_2,6778472f5ae19a52d3b2b7f7.json
,mlb migracion credito,bari,Visa,6778472f5ae19a52d3b2b7f7_1,6778472f5ae19a52d3b2b7f7,MLB,2025-Q1,"abrimos el proyecto con visa y el miercoles 8/01 tenemos el primer checkpoint. seteamos el 22/01, entre 7 y 9am, como fecha/hora de migracion",6778472f5ae19a52d3b2b7f7_1,6778472f5ae19a52d3b2b7f7.json
,bari mlm debito y credito,bari,Otra,6778472f5ae19a52d3b2b7f7_3,6778472f5ae19a52d3b2b7f7,MLM,2025-Q1,seguimiento para resolucion de issue que permite transaccionar con ambas tarjetas luego de ingresar 3 veces incorrectamente el nip. (eta 15/01),6778472f5ae19a52d3b2b7f7_3,6778472f5ae19a52d3b2b7f7.json
,,bari,Otra,678e3e3b3fd8a36a36ecb8e9_3,678e3e3b3fd8a36a36ecb8e9,CORP,2025-Q1,reunion con tesoreria para cerrar numeros financieros respecto a el bc de emision inhouse de tarjetas corporate,678e3e3b3fd8a36a36ecb8e9_3,678e3e3b3fd8a36a36ecb8e9.json
,,bari,Mastercard,678e3e3b3fd8a36a36ecb8e9_2,678e3e3b3fd8a36a36ecb8e9,MLM,2025-Q1,mesa con master por pin online en MLM,678e3e3b3fd8a36a36ecb8e9_2,678e3e3b3fd8a36a36ecb8e9.json
,,bari,Mastercard,6784d9f9b55e30055baf35d9_2,6784d9f9b55e30055baf35d9,CORP,2025-Q1,mesa con mastercard por el assessment de cobrands,6784d9f9b55e30055baf35d9_2,6784d9f9b55e30055baf35d9.json
,,bari,Otra,6784d9f9b55e30055baf35d9_1,6784d9f9b55e30055baf35d9,CORP,2025-Q1,envío de la monthly,6784d9f9b55e30055baf35d9_1,6784d9f9b55e30055baf35d9.json
,,bari,Mastercard,6784d9f9b55e30055baf35d9_3,6784d9f9b55e30055baf35d9,MLA,2025-Q1,kick off con master por apertura de proyecto par tc en mla,6784d9f9b55e30055baf35d9_3,6784d9f9b55e30055baf35d9.json
,,bari,Otra,678e3e3b3fd8a36a36ecb8e9_1,678e3e3b3fd8a36a36ecb8e9,MLB,2025-Q1,7 am migracion del procesamiento de tarjetas de credito en MLB,678e3e3b3fd8a36a36ecb8e9_1,678e3e3b3fd8a36a36ecb8e9.json
,,bari,Otra,679775a12ae3ee6bd0b389da_1,679775a12ae3ee6bd0b389da,CORP,2025-Q1,slides para review de marcos y envío de monthly,679775a12ae3ee6bd0b389da_1,679775a12ae3ee6bd0b389da.json
