Sub-Sub-Title,Sub-Title,Team,bandera,bullet_id,commentId,country,fecha,formatted,id,source_file
,,x countries,Otra,67782a5d78be010d615971c5_2,67782a5d78be010d615971c5,CORP,2025-Q1,tte economics,67782a5d78be010d615971c5_2,67782a5d78be010d615971c5.json
,,x countries,Otra,67782a5d78be010d615971c5_1,67782a5d78be010d615971c5,CORP,2025-Q1,tte fup,67782a5d78be010d615971c5_1,67782a5d78be010d615971c5.json
,,x countries,Otra,67782a5d78be010d615971c5_3,67782a5d78be010d615971c5,CORP,2025-Q1,gpt lesson 2,67782a5d78be010d615971c5_3,67782a5d78be010d615971c5.json
priorities,down,x countries,Otra,6784f2fec480899eb3c8754c_4,6784f2fec480899eb3c8754c,CORP,2025-Q1,Kick Off Culture in action Project,6784f2fec480899eb3c8754c_4,6784f2fec480899eb3c8754c.json
,,x countries,Otra,678bd515d41a4ce93b3bd941_1,678bd515d41a4ce93b3bd941,CORP,2025-Q1,tte monthly,678bd515d41a4ce93b3bd941_1,678bd515d41a4ce93b3bd941.json
priorities,down,x countries,Otra,6784f2fec480899eb3c8754c_2,6784f2fec480899eb3c8754c,CORP,2025-Q1,TTP - FUP,6784f2fec480899eb3c8754c_2,6784f2fec480899eb3c8754c.json
,,x countries,Otra,678bd515d41a4ce93b3bd941_3,678bd515d41a4ce93b3bd941,CORP,2025-Q1,culture in action,678bd515d41a4ce93b3bd941_3,678bd515d41a4ce93b3bd941.json
,,x countries,Otra,678bd515d41a4ce93b3bd941_2,678bd515d41a4ce93b3bd941,CORP,2025-Q1,tte economics,678bd515d41a4ce93b3bd941_2,678bd515d41a4ce93b3bd941.json
,down,x countries,Otra,6784f2fec480899eb3c8754c_1,6784f2fec480899eb3c8754c,CORP,2025-Q1,1 Q Delay on project due to provider inestabilities,6784f2fec480899eb3c8754c_1,6784f2fec480899eb3c8754c.json
,,x countries,Otra,678bd515d41a4ce93b3bd941_4,678bd515d41a4ce93b3bd941,CORP,2025-Q1,gpt focus training,678bd515d41a4ce93b3bd941_4,678bd515d41a4ce93b3bd941.json
priorities,down,x countries,Otra,6784f2fec480899eb3c8754c_3,6784f2fec480899eb3c8754c,CORP,2025-Q1,Kick Off IA Project (Small groups),6784f2fec480899eb3c8754c_3,6784f2fec480899eb3c8754c.json
ux,tte,x countries,Otra,67929d820ae67746d1ece10c_1,67929d820ae67746d1ece10c,CORP,2025-Q1,culture in action,67929d820ae67746d1ece10c_1,67929d820ae67746d1ece10c.json
ux,tte,x countries,Otra,67929d820ae67746d1ece10c_2,67929d820ae67746d1ece10c,CORP,2025-Q1,gpt,67929d820ae67746d1ece10c_2,67929d820ae67746d1ece10c.json
,tte ux,x countries,Otra,679bca478e98aaeb0c3e449a_1,679bca478e98aaeb0c3e449a,CORP,2025-Q1,tte ux,679bca478e98aaeb0c3e449a_1,679bca478e98aaeb0c3e449a.json
,tte attestation light,x countries,Otra,679bca478e98aaeb0c3e449a_2,679bca478e98aaeb0c3e449a,CORP,2025-Q1,tte attestation light,679bca478e98aaeb0c3e449a_2,679bca478e98aaeb0c3e449a.json
,,x countries,Otra,67b1ff17ab96e84847d4dfb1_2,67b1ff17ab96e84847d4dfb1,CORP,2025-Q1,deep dive gpt,67b1ff17ab96e84847d4dfb1_2,67b1ff17ab96e84847d4dfb1.json
,,x countries,Otra,67a9f757e08cebe7ae5abc28_2,67a9f757e08cebe7ae5abc28,CORP,2025-Q1,gpt deep dive,67a9f757e08cebe7ae5abc28_2,67a9f757e08cebe7ae5abc28.json
,,x countries,Otra,67b1ff17ab96e84847d4dfb1_1,67b1ff17ab96e84847d4dfb1,CORP,2025-Q1,tte improve ux,67b1ff17ab96e84847d4dfb1_1,67b1ff17ab96e84847d4dfb1.json
,,x countries,Otra,67a9f757e08cebe7ae5abc28_1,67a9f757e08cebe7ae5abc28,CORP,2025-Q1,tte - ux + fup,67a9f757e08cebe7ae5abc28_1,67a9f757e08cebe7ae5abc28.json
,,x countries,Otra,67bc6d3ca8c2f94f4fd20cbc_1,67bc6d3ca8c2f94f4fd20cbc,CORP,2025-Q1,tte ux review review de conversion,67bc6d3ca8c2f94f4fd20cbc_1,67bc6d3ca8c2f94f4fd20cbc.json
,,x countries,Otra,67bc6d3ca8c2f94f4fd20cbc_2,67bc6d3ca8c2f94f4fd20cbc,CORP,2025-Q1,gpt deep dive continuar talleres,67bc6d3ca8c2f94f4fd20cbc_2,67bc6d3ca8c2f94f4fd20cbc.json
,,x countries,Otra,67c8467a7b690c108404a814_1,67c8467a7b690c108404a814,CORP,2025-Q1,"tte - ux check, conversion numbers, monthly preparation",67c8467a7b690c108404a814_1,67c8467a7b690c108404a814.json
,,x countries,Otra,67c8467a7b690c108404a814_2,67c8467a7b690c108404a814,CORP,2025-Q1,deep dive gpt,67c8467a7b690c108404a814_2,67c8467a7b690c108404a814.json
,,x countries,Otra,67ced79a70d2fd4647a18896_1,67ced79a70d2fd4647a18896,CORP,2025-Q1,tte monthly,67ced79a70d2fd4647a18896_1,67ced79a70d2fd4647a18896.json
,,x countries,Otra,67ced79a70d2fd4647a18896_2,67ced79a70d2fd4647a18896,CORP,2025-Q1,gpt deep dive,67ced79a70d2fd4647a18896_2,67ced79a70d2fd4647a18896.json
,,x countries,Otra,67d7810c4c1052cb9fd095f6_2,67d7810c4c1052cb9fd095f6,CORP,2025-Q1,gpt dive dive,67d7810c4c1052cb9fd095f6_2,67d7810c4c1052cb9fd095f6.json
,,x countries,Otra,67d7810c4c1052cb9fd095f6_1,67d7810c4c1052cb9fd095f6,CORP,2025-Q1,los 3 ptos a enfocarnos,67d7810c4c1052cb9fd095f6_1,67d7810c4c1052cb9fd095f6.json
,,x countries,Otra,67ddbedbacfcbbb0ad4d118f_2,67ddbedbacfcbbb0ad4d118f,CORP,2025-Q1,deep dive gpt,67ddbedbacfcbbb0ad4d118f_2,67ddbedbacfcbbb0ad4d118f.json
,,x countries,Otra,67ddbedbacfcbbb0ad4d118f_1,67ddbedbacfcbbb0ad4d118f,CORP,2025-Q1,tte fup 3 iniciatives,67ddbedbacfcbbb0ad4d118f_1,67ddbedbacfcbbb0ad4d118f.json
,,x countries,Otra,67e70abc9b331c5f2a00f6b4_3,67e70abc9b331c5f2a00f6b4,CORP,2025-Q1,verdi co pilot,67e70abc9b331c5f2a00f6b4_3,67e70abc9b331c5f2a00f6b4.json
,,x countries,Otra,67e70abc9b331c5f2a00f6b4_2,67e70abc9b331c5f2a00f6b4,CORP,2025-Q1,deep dive gpt,67e70abc9b331c5f2a00f6b4_2,67e70abc9b331c5f2a00f6b4.json
,,x countries,Otra,67e70abc9b331c5f2a00f6b4_1,67e70abc9b331c5f2a00f6b4,CORP,2025-Q1,tte marketplace issue,67e70abc9b331c5f2a00f6b4_1,67e70abc9b331c5f2a00f6b4.json
,,x countries,Otra,67f0591469af7f5a43f0a3e4_2,67f0591469af7f5a43f0a3e4,CORP,2025-Q2,deep dive gpt fup capacitacion gemini verdi,67f0591469af7f5a43f0a3e4_2,67f0591469af7f5a43f0a3e4.json
,,x countries,Otra,67f0591469af7f5a43f0a3e4_1,67f0591469af7f5a43f0a3e4,CORP,2025-Q2,tte propuesta de piva,67f0591469af7f5a43f0a3e4_1,67f0591469af7f5a43f0a3e4.json
