Sub-Sub-Title,Sub-Title,Team,bandera,bullet_id,commentId,country,fecha,formatted,id,source_file
mlm mlc euge,proyectos procesos capabilities cross marigraqueziaeuge,genova,Mastercard,67785cff5ee9016270263e78_11,67785cff5ee9016270263e78,MLM,2025-Q1,[mlm] apertura cuenta internaciona ok de master fecha de inicio 141,67785cff5ee9016270263e78_11,67785cff5ee9016270263e78.json
mla tn santi,proyectos procesos capabilities cross marigraqueziaeuge,genova,Otra,67785cff5ee9016270263e78_8,67785cff5ee9016270263e78,MLA,2025-Q1,unmatched clearing armado de plan de cuotas futuras para presentación de nuevo waiver,67785cff5ee9016270263e78_8,67785cff5ee9016270263e78.json
mlb lucas,proyectos procesos capabilities cross marigraqueziaeuge,genova,Otra,67785cff5ee9016270263e78_6,67785cff5ee9016270263e78,MLB,2025-Q1,bcb 3978 datos obligatorios para pld mandates impactos y desarrollo,67785cff5ee9016270263e78_6,67785cff5ee9016270263e78.json
mlm mlc euge,proyectos procesos capabilities cross marigraqueziaeuge,genova,Otra,67785cff5ee9016270263e78_12,67785cff5ee9016270263e78,MLC,2025-Q1,[mlc] trade off devoluciones parciales merchant financed,67785cff5ee9016270263e78_12,67785cff5ee9016270263e78.json
mlb lucas,proyectos procesos capabilities cross marigraqueziaeuge,genova,Otra,67785cff5ee9016270263e78_4,67785cff5ee9016270263e78,MLB,2025-Q1,diferencia en la liquidación ecofin,67785cff5ee9016270263e78_4,67785cff5ee9016270263e78.json
mlm prosa,proyectos procesos capabilities cross marigraqueziaeuge,genova,Otra,67785cff5ee9016270263e78_2,67785cff5ee9016270263e78,MLM,2025-Q1,destrabar ok de conci para incrementar volumen de roll out,67785cff5ee9016270263e78_2,67785cff5ee9016270263e78.json
mla amex,proyectos procesos capabilities cross marigraqueziaeuge,genova,American Express,67785cff5ee9016270263e78_3,67785cff5ee9016270263e78,MLA,2025-Q1,definir plan sobre conexión para recibir archivos sftp,67785cff5ee9016270263e78_3,67785cff5ee9016270263e78.json
mla tn santi,proyectos procesos capabilities cross marigraqueziaeuge,genova,Otra,67785cff5ee9016270263e78_7,67785cff5ee9016270263e78,MLA,2025-Q1,fee collection banco supervielle esta semana vamos a estar haciendo una prueba para ejecutar un fc posterior a esto y estaremos alineando el cobro final del monto adeudado,67785cff5ee9016270263e78_7,67785cff5ee9016270263e78.json
,proyectos procesos capabilities cross marigraqueziaeuge,genova,Otra,67785cff5ee9016270263e78_1,67785cff5ee9016270263e78,CORP,2025-Q1,tenemos a euge oficialmente en el equipo,67785cff5ee9016270263e78_1,67785cff5ee9016270263e78.json
mlb lucas,proyectos procesos capabilities cross marigraqueziaeuge,genova,Otra,67785cff5ee9016270263e78_5,67785cff5ee9016270263e78,MLB,2025-Q1,transaction cost hub termo de compromisso,67785cff5ee9016270263e78_5,67785cff5ee9016270263e78.json
